Feature,Estimate,Std Error,t-stat,P-Value
Intercept,72127.07142820102,23.408163158842484,-1.031909374956085,0.30213617675504745
DURATION,-24.155103014111205,100.94734728562968,66.64100443066819,0.0
MIN_YEARS_EXPERIENCE,6727.232617725847,6739.77532750699,2.7569459844586417,0.005843558196968024
STATE_VEC_0,18581.196525323823,6762.536650698234,1.4853416911012483,0.13748062036021325
STATE_VEC_1,10044.677624882286,6833.809990757143,1.5724678461371702,0.11586947657078372
STATE_VEC_2,10745.946477076559,6839.34723135977,2.2897601852985274,0.02205316787394551
STATE_VEC_3,15660.464983799318,6867.048109426348,1.6028894403461358,0.10898640506233814
STATE_VEC_4,11007.118900948388,6908.002388776679,1.4415357085698832,0.14946050330296945
STATE_VEC_5,9958.132118307636,6930.050261536968,0.954454080948109,0.33987381373421943
STATE_VEC_6,6614.414753299469,6932.969334021329,1.321317075706235,0.18642183179844363
STATE_VEC_7,9160.650766390065,6951.993782608807,2.6818076735374365,0.007332964165732259
STATE_VEC_8,18643.91027258485,6956.023831208986,1.841405669131706,0.06558775518836968
STATE_VEC_9,12808.861717403475,6960.399733825298,2.304438034481714,0.02121571747829276
STATE_VEC_10,16039.809881823416,6979.038212975143,1.0384988806199467,0.29905959196954046
STATE_VEC_11,7247.723371978519,6980.861155393031,1.4565150297411278,0.14527747602090368
STATE_VEC_12,10167.729193365965,6996.897884863457,2.5105935392804875,0.012066387420881508
STATE_VEC_13,17566.366624743503,6989.256069309953,1.5955547191187311,0.11061559858395875
STATE_VEC_14,11151.740504516729,7017.751667392798,2.2334630610872104,0.025537493427703284
STATE_VEC_15,15673.889121004993,7008.155296600585,1.8535715759635687,0.06382595405304103
STATE_VEC_16,12990.117457717377,7016.508576196334,0.33098962235241824,0.7406583276554888
STATE_VEC_17,2322.391523867728,7115.662671336824,1.3810435377618122,0.16729228893479386
STATE_VEC_18,9827.039949142674,7137.504369912902,1.1662989179830223,0.24351768772564464
STATE_VEC_19,8324.46362372851,7165.970868365217,1.1940748927154001,0.23247319176473424
STATE_VEC_20,8556.70589584488,7229.419881459093,1.0197401679790274,0.30787306106854784
STATE_VEC_21,7372.129844310016,7239.062135449234,1.7150536139141437,0.08636221609358308
STATE_VEC_22,12415.379676751247,7298.384232511404,1.7903884859444,0.07341765740937589
STATE_VEC_23,13066.943095886574,7315.293231261879,1.2314446896285298,0.2181816594663828
STATE_VEC_24,9008.379002712969,7328.329914395001,0.792172891750645,0.42827613929974584
STATE_VEC_25,5805.304299989044,7381.711014514826,0.7302433289647758,0.4652562700242786
STATE_VEC_26,5390.44522469526,7392.490960992871,-0.29008266786504133,0.7717582016520352
STATE_VEC_27,-2144.433500133015,7409.632227536627,1.164724389134913,0.24415462478171857
STATE_VEC_28,8630.179369931964,7372.375649436663,1.558159325294174,0.11922287790343233
STATE_VEC_29,11487.335867741427,7470.574715980984,1.1208736149122092,0.26236496380829877
STATE_VEC_30,8373.570087373357,7464.013995390441,1.7918123626241322,0.07318919100742538
STATE_VEC_31,13374.112551740134,7463.848240302498,2.0467033844570404,0.04070979835235078
STATE_VEC_32,15276.283454500848,7463.774537425849,0.8429741815052484,0.3992603366702383
STATE_VEC_33,6291.769231626269,7451.376937115193,1.1716702291501344,0.2413536445977318
STATE_VEC_34,8730.556523393785,7611.343300301642,1.4207559847565687,0.15541470105350008
STATE_VEC_35,10813.86154594037,7584.66254962511,1.3731827594495818,0.1697221895898482
STATE_VEC_36,10415.12784938811,7736.195739644028,1.5876189526331752,0.11239989801903971
STATE_VEC_37,12282.130977538885,7840.13387182555,2.007441676990011,0.044725902175275944
STATE_VEC_38,15738.611487483673,7840.093457422581,0.9199835229394261,0.3576005796901738
STATE_VEC_39,7212.756799133972,7854.587029383942,1.9127993182825878,0.05579844743264539
STATE_VEC_40,15024.24871519686,8102.541187107153,0.6549955770473809,0.5124836433794986
STATE_VEC_41,5307.12864039942,8080.838521233906,0.7361625963881404,0.46164669977519335
STATE_VEC_42,5948.811066784853,8245.660156347678,0.28811732403353807,0.7732621008430278
STATE_VEC_43,2375.7175391368582,8354.817828917054,1.885421530674421,0.05939802163320529
STATE_VEC_44,15752.353419502735,8447.97891342098,0.7506311300814333,0.4528899697698565
STATE_VEC_45,6341.31595868531,8297.094961598696,-0.7231703155191624,0.46958989521038697
STATE_VEC_46,-6000.212781271782,8672.604962016969,1.9616306208030532,0.04982948381947683
STATE_VEC_47,17012.447455620986,8962.538109277573,0.9494084083067998,0.34243279665361137
STATE_VEC_48,8509.109040718256,9209.117865022949,0.1666541619665244,0.8676450912399885
STATE_VEC_49,1534.7378202463478,6709.693223500598,10.749682440856915,0.0
